Date,team1,team2
2019-05-11,MIA,NYM
2019-05-11,SEA,BOS
2019-05-11,KCR,PHI
2019-05-11,CIN,SFG
2019-05-11,TOR,CHW
2019-05-11,BAL,LAA
2019-05-11,SDP,COL
2019-05-12,TEX,HOU
2019-05-12,WSN,LAD
2019-05-12,TBR,NYY
2019-05-12,DET,MIN
2019-05-12,ARI,ATL
2019-05-12,CLE,OAK
2019-05-12,PIT,STL
2019-05-12,CHC,MIL
2019-05-12,SEA,BOS
2019-05-12,KCR,PHI
2019-05-12,CIN,SFG
2019-05-12,TOR,CHW
2019-05-12,BAL,LAA
2019-05-12,SDP,COL
2019-05-13,DET,HOU
2019-05-13,LAA,MIN
2019-05-13,SEA,OAK
2019-05-13,CHW,CLE
2019-05-13,PHI,MIL
2019-05-13,PIT,ARI
2019-05-14,DET,HOU
2019-05-14,SDP,LAD
2019-05-14,LAA,MIN
2019-05-14,STL,ATL
2019-05-14,SEA,OAK
2019-05-14,MIA,TBR
2019-05-14,CHW,CLE
2019-05-14,NYM,WSN
2019-05-14,PHI,MIL
2019-05-14,PIT,ARI
2019-05-14,COL,BOS
2019-05-14,CIN,CHC
2019-05-14,KCR,TEX
2019-05-14,TOR,SFG
2019-05-15,DET,HOU
2019-05-15,SDP,LAD
2019-05-15,BAL,NYY
2019-05-15,BAL,NYY
2019-05-15,LAA,MIN
2019-05-15,STL,ATL
2019-05-15,MIA,TBR
2019-05-15,NYM,WSN
2019-05-15,PHI,MIL
2019-05-15,PIT,ARI
2019-05-15,COL,BOS
2019-05-15,CIN,CHC
2019-05-15,KCR,TEX
2019-05-15,TOR,SFG
2019-05-16,SEA,MIN
2019-05-16,STL,ATL
2019-05-16,DET,OAK
2019-05-16,BAL,CLE
2019-05-16,NYM,WSN
2019-05-16,PHI,MIL
2019-05-16,CIN,CHC
2019-05-16,KCR,TEX
2019-05-16,TOR,CHW
2019-05-16,PIT,SDP
2019-05-17,BOS,HOU
2019-05-17,CIN,LAD
2019-05-17,TBR,NYY
2019-05-17,SEA,MIN
2019-05-17,MIL,ATL
2019-05-17,DET,OAK
2019-05-17,BAL,CLE
2019-05-17,CHC,WSN
2019-05-17,TEX,STL
2019-05-17,MIA,NYM
2019-05-17,SFG,ARI
2019-05-17,COL,PHI
2019-05-17,TOR,CHW
2019-05-17,KCR,LAA
2019-05-17,PIT,SDP
2019-05-18,BOS,HOU
2019-05-18,CIN,LAD
2019-05-18,TBR,NYY
2019-05-18,SEA,MIN
2019-05-18,MIL,ATL
2019-05-18,DET,OAK
2019-05-18,BAL,CLE
2019-05-18,CHC,WSN
2019-05-18,TEX,STL
2019-05-18,MIA,NYM
2019-05-18,SFG,ARI
2019-05-18,COL,PHI
2019-05-18,TOR,CHW
2019-05-18,KCR,LAA
2019-05-18,PIT,SDP
2019-05-19,BOS,HOU
2019-05-19,CIN,LAD
2019-05-19,TBR,NYY
2019-05-19,SEA,MIN
2019-05-19,MIL,ATL
2019-05-19,DET,OAK
2019-05-19,BAL,CLE
2019-05-19,CHC,WSN
2019-05-19,TEX,STL
2019-05-19,MIA,NYM
2019-05-19,SFG,ARI
2019-05-19,COL,PHI
2019-05-19,TOR,CHW
2019-05-19,KCR,LAA
2019-05-19,PIT,SDP
2019-05-20,CHW,HOU
2019-05-20,BAL,NYY
2019-05-20,LAA,MIN
2019-05-20,SFG,ATL
2019-05-20,CLE,OAK
2019-05-20,NYM,WSN
2019-05-20,SDP,ARI
2019-05-20,TOR,BOS
2019-05-20,PHI,CHC
2019-05-20,SEA,TEX
2019-05-21,CHW,HOU
2019-05-21,TBR,LAD
2019-05-21,BAL,NYY
2019-05-21,LAA,MIN
2019-05-21,SFG,ATL
2019-05-21,CLE,OAK
2019-05-21,NYM,WSN
2019-05-21,CIN,MIL
2019-05-21,SDP,ARI
2019-05-21,TOR,BOS
2019-05-21,PHI,CHC
2019-05-21,SEA,TEX
2019-05-21,PIT,COL
2019-05-21,DET,MIA
2019-05-22,CHW,HOU
2019-05-22,TBR,LAD
2019-05-22,BAL,NYY
2019-05-22,SFG,ATL
2019-05-22,CLE,OAK
2019-05-22,NYM,WSN
2019-05-22,KCR,STL
2019-05-22,KCR,STL
2019-05-22,CIN,MIL
2019-05-22,SDP,ARI
2019-05-22,TOR,BOS
2019-05-22,PHI,CHC
2019-05-22,SEA,TEX
2019-05-22,PIT,COL
2019-05-22,DET,MIA
2019-05-23,CHW,HOU
2019-05-23,BAL,NYY
2019-05-23,LAA,MIN
2019-05-23,SFG,ATL
2019-05-23,CLE,TBR
2019-05-23,NYM,WSN
2019-05-23,TOR,BOS
2019-05-23,PHI,CHC
2019-05-23,PIT,COL
2019-05-23,DET,MIA
2019-05-24,BOS,HOU
2019-05-24,PIT,LAD
2019-05-24,CHW,MIN
2019-05-24,STL,ATL
2019-05-24,SEA,OAK
2019-05-24,CLE,TBR
2019-05-24,MIA,WSN
2019-05-24,PHI,MIL
2019-05-24,DET,NYM
2019-05-24,SFG,ARI
2019-05-24,CIN,CHC
2019-05-24,LAA,TEX
2019-05-24,BAL,COL
2019-05-24,TOR,SDP
2019-05-25,BOS,HOU
2019-05-25,PIT,LAD
2019-05-25,KCR,NYY
2019-05-25,KCR,NYY
2019-05-25,CHW,MIN
2019-05-25,STL,ATL
2019-05-25,SEA,OAK
2019-05-25,CLE,TBR
2019-05-25,MIA,WSN
2019-05-25,PHI,MIL
2019-05-25,DET,NYM
2019-05-25,SFG,ARI
2019-05-25,CIN,CHC
2019-05-25,LAA,TEX
2019-05-25,BAL,COL
2019-05-25,TOR,SDP
2019-05-26,BOS,HOU
2019-05-26,PIT,LAD
2019-05-26,KCR,NYY
2019-05-26,CHW,MIN
2019-05-26,STL,ATL
2019-05-26,SEA,OAK
2019-05-26,CLE,TBR
2019-05-26,MIA,WSN
2019-05-26,PHI,MIL
2019-05-26,DET,NYM
2019-05-26,SFG,ARI
2019-05-26,CIN,CHC
2019-05-26,LAA,TEX
2019-05-26,BAL,COL
2019-05-26,TOR,SDP
2019-05-27,CHC,HOU
2019-05-27,NYM,LAD
2019-05-27,SDP,NYY
2019-05-27,MIL,MIN
2019-05-27,LAA,OAK
2019-05-27,TOR,TBR
2019-05-27,BOS,CLE
2019-05-27,MIA,WSN
