Date,team1,team2,winners,team1wins,team2wins,ties
2019-04-22,PHI,NYM,PHI,5269,3585,1146
2019-04-22,PIT,ARI,PIT,4672,4183,1145
2019-04-22,BAL,CHW,CHW,3590,4978,1432
2019-04-23,MIN,HOU,MIN,4712,4105,1183
2019-04-23,CHC,LAD,LAD,4353,4608,1039
2019-04-23,LAA,NYY,NYY,3244,5464,1292
2019-04-23,CIN,ATL,ATL,4128,4579,1293
2019-04-23,TEX,OAK,TEX,4608,4244,1148
2019-04-23,KCR,TBR,TBR,2242,6464,1294
2019-04-23,MIA,CLE,CLE,3007,5706,1287
2019-04-23,COL,WSN,WSN,3767,5019,1214
2019-04-23,MIL,STL,STL,3122,5582,1296
2019-04-23,PHI,NYM,PHI,5140,3711,1149
2019-04-23,PIT,ARI,ARI,4261,4591,1148
2019-04-23,DET,BOS,DET,5028,3571,1401
2019-04-23,DET,BOS,DET,5035,3570,1395
2019-04-23,TOR,SFG,TOR,4798,3438,1764
2019-04-23,BAL,CHW,CHW,3140,5596,1264
2019-04-23,SEA,SDP,SEA,5712,2761,1527
2019-04-24,MIN,HOU,HOU,4383,4409,1208
2019-04-24,CHC,LAD,CHC,4489,4462,1049
2019-04-24,LAA,NYY,NYY,3184,5538,1278
2019-04-24,CIN,ATL,ATL,4154,4497,1349
2019-04-24,TEX,OAK,OAK,4264,4555,1181
2019-04-24,KCR,TBR,TBR,2076,6608,1316
2019-04-24,MIA,CLE,CLE,3017,5624,1359
2019-04-24,COL,WSN,WSN,3623,5187,1190
2019-04-24,MIL,STL,STL,3157,5458,1385
2019-04-24,PHI,NYM,PHI,4526,4300,1174
2019-04-24,PIT,ARI,ARI,4240,4615,1145
2019-04-24,DET,BOS,DET,5366,3281,1353
2019-04-24,TOR,SFG,TOR,4849,3514,1637
2019-04-24,BAL,CHW,CHW,3741,4961,1298
2019-04-24,SEA,SDP,SEA,5548,3001,1451
2019-04-25,CLE,HOU,HOU,3623,5141,1236
2019-04-25,CHC,LAD,CHC,4490,4376,1134
2019-04-25,LAA,NYY,NYY,3088,5596,1316
2019-04-25,CIN,ATL,ATL,4057,4563,1380
2019-04-25,PIT,ARI,ARI,3763,5081,1156
2019-04-25,DET,BOS,DET,4839,3779,1382
2019-04-25,MIA,PHI,PHI,3296,5676,1028
2019-04-25,SEA,TEX,SEA,5126,3780,1094
2019-04-26,CLE,HOU,HOU,3702,4976,1322
2019-04-26,PIT,LAD,LAD,3539,5257,1204
2019-04-26,SFG,NYY,NYY,3331,5271,1398
2019-04-26,BAL,MIN,MIN,3160,5735,1105
2019-04-26,COL,ATL,ATL,3546,5000,1454
2019-04-26,TOR,OAK,OAK,4226,4581,1193
2019-04-26,SDP,WSN,WSN,3868,4849,1283
2019-04-26,CIN,STL,STL,3490,5128,1382
2019-04-26,NYM,MIL,NYM,4429,4339,1232
2019-04-26,CHC,ARI,ARI,4423,4579,998
2019-04-26,MIA,PHI,PHI,3334,5571,1095
2019-04-26,SEA,TEX,SEA,5564,3413,1023
2019-04-26,DET,CHW,CHW,4306,4319,1375
2019-04-26,KCR,LAA,LAA,4029,4584,1387
2019-04-27,CLE,HOU,HOU,3883,4795,1322
2019-04-27,PIT,LAD,LAD,3348,5452,1200
2019-04-27,SFG,NYY,NYY,3131,5425,1444
2019-04-27,BAL,MIN,MIN,2963,5950,1087
2019-04-27,COL,ATL,ATL,3828,4788,1384
2019-04-27,TOR,OAK,OAK,4362,4383,1255
2019-04-27,BOS,TBR,TBR,2471,6234,1295
2019-04-27,SDP,WSN,WSN,3977,4782,1241
2019-04-27,CIN,STL,STL,4159,4562,1279
2019-04-27,NYM,MIL,MIL,4000,4744,1256
2019-04-27,CHC,ARI,ARI,4359,4615,1026
2019-04-27,MIA,PHI,PHI,3169,5702,1129
2019-04-27,SEA,TEX,SEA,5581,3315,1104
2019-04-27,KCR,LAA,LAA,3850,4797,1353
2019-04-28,CLE,HOU,HOU,3842,4786,1372
2019-04-28,PIT,LAD,LAD,3302,5494,1204
2019-04-28,SFG,NYY,NYY,3100,5443,1457
2019-04-28,BAL,MIN,MIN,2659,6314,1027
2019-04-28,COL,ATL,ATL,4151,4456,1393
2019-04-28,TOR,OAK,TOR,4672,4072,1256
2019-04-28,BOS,TBR,TBR,2429,6303,1268
2019-04-28,SDP,WSN,WSN,4118,4555,1327
2019-04-28,CIN,STL,STL,4019,4591,1390
2019-04-28,NYM,MIL,MIL,3965,4749,1286
2019-04-28,CHC,ARI,CHC,4661,4295,1044
2019-04-28,MIA,PHI,PHI,3191,5749,1060
2019-04-28,SEA,TEX,SEA,5036,3856,1108
2019-04-28,DET,CHW,CHW,4325,4441,1234
2019-04-28,KCR,LAA,LAA,4126,4514,1360
2019-04-29,MIN,HOU,MIN,4455,4299,1246
2019-04-29,SFG,LAD,LAD,3372,5443,1185
2019-04-29,SDP,ATL,ATL,4050,4452,1498
2019-04-29,BOS,OAK,OAK,3712,5124,1164
2019-04-29,KCR,TBR,TBR,2662,6015,1323
2019-04-29,STL,WSN,STL,4987,3782,1231
2019-04-29,COL,MIL,MIL,4282,4430,1288
2019-04-29,CIN,NYM,CIN,5101,3726,1173
2019-04-29,BAL,CHW,CHW,3488,5294,1218
2019-04-30,MIN,HOU,MIN,4598,4200,1202
2019-04-30,SFG,LAD,LAD,3482,5307,1211
2019-04-30,ARI,NYY,NYY,3980,4826,1194
2019-04-30,SDP,ATL,ATL,3879,4643,1478
2019-04-30,BOS,OAK,OAK,3860,4908,1232
2019-04-30,MIA,CLE,CLE,2960,5774,1266
2019-04-30,STL,WSN,STL,5035,3677,1288
2019-04-30,COL,MIL,MIL,4128,4613,1259
2019-04-30,CIN,NYM,CIN,5073,3657,1270
2019-04-30,SEA,CHC,CHC,4165,4704,1131
2019-04-30,DET,PHI,PHI,3674,5137,1189
2019-04-30,PIT,TEX,TEX,3767,5137,1096
2019-04-30,TOR,LAA,TOR,4764,3871,1365
2019-05-01,MIN,HOU,HOU,4062,4805,1133
2019-05-01,SFG,LAD,LAD,3126,5690,1184
2019-05-01,ARI,NYY,NYY,4169,4644,1187
2019-05-01,SDP,ATL,ATL,3924,4555,1521
2019-05-01,BOS,OAK,OAK,3998,4674,1328
2019-05-01,KCR,TBR,TBR,2579,6050,1371
2019-05-01,KCR,TBR,TBR,2600,6075,1325
2019-05-01,MIA,CLE,CLE,2809,5918,1273
2019-05-01,STL,WSN,STL,5137,3647,1216
2019-05-01,COL,MIL,MIL,4080,4654,1266
2019-05-01,CIN,NYM,CIN,4920,3820,1260
2019-05-01,SEA,CHC,CHC,4218,4680,1102
2019-05-01,DET,PHI,PHI,3681,5203,1116
2019-05-01,PIT,TEX,TEX,3972,4946,1082
2019-05-01,BAL,CHW,CHW,3421,5386,1193
2019-05-01,BAL,CHW,CHW,3344,5407,1249
2019-05-01,TOR,LAA,TOR,4636,3944,1420
2019-05-02,MIN,HOU,HOU,4188,4596,1216
2019-05-02,SDP,ATL,ATL,3716,4856,1428
2019-05-02,KCR,TBR,TBR,2848,5667,1485
2019-05-02,STL,WSN,STL,5263,3484,1253
2019-05-02,COL,MIL,COL,4439,4311,1250
2019-05-02,CIN,NYM,CIN,5012,3819,1169
2019-05-02,CHW,BOS,CHW,4495,4242,1263
2019-05-02,TOR,LAA,TOR,4593,4009,1398
2019-05-03,SDP,LAD,LAD,3641,5177,1182
2019-05-03,MIN,NYY,NYY,4324,4440,1236
2019-05-03,MIA,ATL,ATL,3045,5646,1309
2019-05-03,PIT,OAK,OAK,4277,4386,1337
2019-05-03,BAL,TBR,TBR,2128,6667,1205
2019-05-03,SEA,CLE,SEA,4414,4377,1209
2019-05-03,PHI,WSN,PHI,4859,4012,1129
2019-05-03,CHC,STL,CHC,4485,4225,1290
2019-05-03,NYM,MIL,MIL,4221,4515,1264
2019-05-03,COL,ARI,ARI,4036,4890,1074
2019-05-03,CHW,BOS,CHW,4603,4080,1317
2019-05-03,TOR,TEX,TEX,4350,4511,1139
2019-05-03,CIN,SFG,CIN,5097,3389,1514
2019-05-03,DET,KCR,KCR,3927,4482,1591
2019-05-04,LAA,HOU,HOU,3871,4869,1260
2019-05-04,SDP,LAD,LAD,3642,5169,1189
2019-05-04,MIN,NYY,NYY,4084,4629,1287
2019-05-04,MIA,ATL,ATL,2900,5840,1260
2019-05-04,PIT,OAK,OAK,3814,4918,1268
2019-05-04,BAL,TBR,TBR,1968,6894,1138
2019-05-04,SEA,CLE,CLE,4290,4451,1259
2019-05-04,PHI,WSN,PHI,4853,4006,1141
2019-05-04,CHC,STL,CHC,4570,4107,1323
2019-05-04,NYM,MIL,MIL,4133,4571,1296
2019-05-04,COL,ARI,ARI,3955,4943,1102
2019-05-04,CHW,BOS,CHW,4350,4313,1337
2019-05-04,TOR,TEX,TEX,4346,4570,1084
2019-05-04,CIN,SFG,CIN,5091,3567,1342
2019-05-04,DET,KCR,KCR,4104,4365,1531
2019-05-05,LAA,HOU,HOU,3391,5359,1250
2019-05-05,SDP,LAD,LAD,3622,5124,1254
2019-05-05,MIN,NYY,NYY,4212,4445,1343
2019-05-05,MIA,ATL,ATL,2726,5989,1285
2019-05-05,PIT,OAK,OAK,3854,4915,1231
2019-05-05,SEA,CLE,CLE,4250,4373,1377
2019-05-05,PHI,WSN,PHI,4728,3999,1273
2019-05-05,CHC,STL,CHC,4660,3993,1347
2019-05-05,NYM,MIL,MIL,4189,4560,1251
2019-05-05,COL,ARI,ARI,3884,4991,1125
2019-05-05,CHW,BOS,BOS,3932,4814,1254
2019-05-05,TOR,TEX,TEX,4214,4680,1106
2019-05-05,CIN,SFG,CIN,5234,3490,1276
2019-05-05,DET,KCR,KCR,3662,4929,1409
2019-05-06,KCR,HOU,HOU,3470,5348,1182
2019-05-06,ATL,LAD,LAD,4050,4697,1253
2019-05-06,SEA,NYY,NYY,3872,4876,1252
2019-05-06,TOR,MIN,MIN,3802,4973,1225
2019-05-06,ARI,TBR,TBR,3971,4707,1322
2019-05-06,CHW,CLE,CLE,3646,4989,1365
2019-05-06,MIL,WSN,WSN,4362,4393,1245
2019-05-06,PHI,STL,PHI,4367,4319,1314
2019-05-06,SDP,NYM,SDP,4719,3974,1307
2019-05-06,BAL,BOS,BOS,3178,5625,1197
2019-05-06,MIA,CHC,CHC,2437,6593,970
2019-05-06,CIN,SFG,CIN,5247,3431,1322
2019-05-07,KCR,HOU,HOU,3360,5419,1221
2019-05-07,ATL,LAD,LAD,4010,4757,1233
2019-05-07,SEA,NYY,NYY,3689,5067,1244
2019-05-07,TOR,MIN,MIN,3527,5289,1184
2019-05-07,CIN,OAK,CIN,4948,3923,1129
2019-05-07,ARI,TBR,TBR,3587,5093,1320
2019-05-07,CHW,CLE,CLE,3997,4635,1368
2019-05-07,MIL,WSN,MIL,4390,4352,1258
2019-05-07,PHI,STL,STL,4192,4525,1283
2019-05-07,SDP,NYM,SDP,4841,3887,1272
