attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,ATL/ATL202009050,"Saturday, Sep 5",2020-09-05,1,Night,39,3:31,-2.0,9,Home,Matzek,WSN,1,23-16,Loss,10,4,,--,McGowin,ATL,WSN,4,10,Atlanta Braves,212,178,0.8717948717948718,WSN,
,ATL/ATL202009060,"Sunday, Sep 6",2020-09-06,1,Day,40,3:26,-3.0,9,Home,Corbin,WSN,1,24-16,Win,3,10,,+,Tomlin,ATL,WSN,10,3,Atlanta Braves,222,181,1.025,ATL,
,ATL/ATL202009070,"Monday, Sep 7",2020-09-07,1,Day,41,3:52,-2.0,10,Home,Minter,MIA,1,24-17,Loss,5,4,Vincent,-,Kintzler,ATL,MIA,4,5,Atlanta Braves,226,186,0.975609756097561,MIA,
,ATL/ATL202009080,"Tuesday, Sep 8",2020-09-08,1,Night,42,3:12,-1.5,9,Home,Wright,MIA,1,24-18,Loss,8,0,,--,Sanchez,ATL,MIA,0,8,Atlanta Braves,226,194,0.7619047619047619,MIA,
,ATL/ATL202009090,"Wednesday, Sep 9",2020-09-09,1,Night,43,4:14,-2.0,9,Home,Lopez,MIA,1,25-18,Win,9,29,Wilson,+,Dayton,ATL,MIA,29,9,Atlanta Braves,255,203,1.2093023255813953,ATL,
,WAS/WAS202009100,"Thursday, Sep 10",2020-09-10,1,Night,44,3:40,-3.0,9,Away,Rainey,WSN,1,26-18,Win,6,7,Melancon,++,Martin,WSN,ATL,6,7,Atlanta Braves,262,209,1.2045454545454546,ATL,
,WAS/WAS202009110,"Friday, Sep 11",2020-09-11,1,Night,45,4:48,-2.5,12,Away,Dayton,WSN,1,26-19,Loss,8,7,,-,Bourque,WSN,ATL,8,7,Atlanta Braves,269,217,1.1555555555555554,WSN,
,WAS/WAS202009120,"Saturday, Sep 12",2020-09-12,1,Night,46,3:04,-2.5,9,Away,Corbin,WSN,1,27-19,Win,1,2,Melancon,+,Anderson,WSN,ATL,1,2,Atlanta Braves,271,218,1.1521739130434783,ATL,
,WAS/WAS202009130,"Sunday, Sep 13",2020-09-13,1,Day,47,3:37,-3.5,9,Away,Scherzer,WSN,1,28-19,Win,4,8,,++,Wright,WSN,ATL,4,8,Atlanta Braves,279,222,1.2127659574468086,ATL,
,BAL/BAL202009140,"Monday, Sep 14",2020-09-14,1,Night,48,2:54,-2.5,9,Away,Toussaint,BAL,1,28-20,Loss,14,1,,-,Lopez,BAL,ATL,14,1,Atlanta Braves,280,236,0.9166666666666666,BAL,
