attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,team
12468,CIN/CIN201908200,"Tuesday, Aug 20",2019-08-20,1,Night,125,2:56,8.5,9,Home,Quantrill,SDP,4,59-66,Win,2,3,Iglesias,+,Gray,CIN
13397,CIN/CIN201908210,"Wednesday, Aug 21",2019-08-21,1,Day,126,2:52,8.0,9,Home,Yardley,SDP,4,60-66,Win,2,4,Iglesias,++,Castillo,CIN
20091,PIT/PIT201908230,"Friday, Aug 23",2019-08-23,1,Night,127,2:53,9.0,9,Away,Iglesias,PIT,4,60-67,Loss,3,2,,-,Vazquez,CIN
26776,PIT/PIT201908240,"Saturday, Aug 24",2019-08-24,1,Night,128,2:45,10.0,9,Away,Wood,PIT,4,60-68,Loss,14,0,,--,Williams,CIN
22349,PIT/PIT201908250,"Sunday, Aug 25",2019-08-25,1,Day,129,3:25,11.0,9,Away,Bauer,PIT,4,60-69,Loss,9,8,Vazquez,---,Agrazal,CIN
5297,MIA/MIA201908260,"Monday, Aug 26",2019-08-26,1,Night,130,3:03,11.0,9,Away,Lopez,MIA,4,61-69,Win,3,6,,+,Gray,CIN
6169,MIA/MIA201908270,"Tuesday, Aug 27",2019-08-27,1,Night,131,3:24,11.0,9,Away,Smith,MIA,4,62-69,Win,5,8,Iglesias,++,Castillo,CIN
6409,MIA/MIA201908280,"Wednesday, Aug 28",2019-08-28,1,Night,132,2:41,10.0,9,Away,Alcantara,MIA,4,63-69,Win,0,5,,+++,DeSclafani,CIN
6466,MIA/MIA201908290,"Thursday, Aug 29",2019-08-29,1,Night,133,3:35,10.5,12,Away,Iglesias,MIA,4,63-70,Loss,4,3,,-,Kinley,CIN
44738,SLN/SLN201908311,"Saturday, Aug 31 (1)",2019-08-31,1,Day,134,3:10,12.5,9,Away,Bauer,STL,4,63-71,Loss,10,6,,--,Hudson,CIN
42074,SLN/SLN201908312,"Saturday, Aug 31 (2)",2019-08-31,2,Night,135,2:53,12.5,9,Away,Iglesias,STL,4,63-72,Loss,3,2,,---,Gant,CIN
43692,SLN/SLN201909011,"Sunday, Sep 1 (1)",2019-09-01,1,Day,136,2:58,12.5,9,Away,Lorenzen,STL,4,63-73,Loss,4,3,,----,Martinez,CIN
38665,SLN/SLN201909012,"Sunday, Sep 1 (2)",2019-09-01,2,Night,137,3:04,12.5,9,Away,Ponce de Leon,STL,4,64-73,Win,3,5,Iglesias,+,Castillo,CIN
19631,CIN/CIN201909020,"Monday, Sep 2",2019-09-02,1,Day,138,2:40,13.5,9,Home,DeSclafani,PHI,4,64-74,Loss,7,1,,-,Smyly,CIN
11452,CIN/CIN201909030,"Tuesday, Sep 3",2019-09-03,1,Night,139,3:16,14.5,9,Home,Garrett,PHI,4,64-75,Loss,6,2,,--,Vincent,CIN
13448,CIN/CIN201909040,"Wednesday, Sep 4",2019-09-04,1,Night,140,3:02,13.5,9,Home,Alvarez,PHI,4,65-75,Win,5,8,Iglesias,+,Lorenzen,CIN
13230,CIN/CIN201909050,"Thursday, Sep 5",2019-09-05,1,Day,141,3:36,13.5,11,Home,Vincent,PHI,4,66-75,Loss,3,4,,++,Bowman,CIN
19048,CIN/CIN201909060,"Friday, Sep 6",2019-09-06,1,Night,142,4:10,13.5,9,Home,Mahle,ARI,4,66-76,Loss,7,5,Bradley,-,Ginkel,CIN
34804,CIN/CIN201909070,"Saturday, Sep 7",2019-09-07,1,Day,143,2:39,14.5,9,Home,Castillo,ARI,4,66-77,Loss,2,0,Sherfy,--,Young,CIN
19717,CIN/CIN201909080,"Sunday, Sep 8",2019-09-08,1,Day,144,3:12,14.5,9,Home,López,ARI,4,67-77,Loss,3,4,,+,Iglesias,CIN
12230,SEA/SEA201909100,"Tuesday, Sep 10",2019-09-10,1,Night,145,2:49,14.5,9,Away,Garrett,SEA,4,67-78,Loss,4,3,Bass,-,Altavilla,CIN
10152,SEA/SEA201909110,"Wednesday, Sep 11",2019-09-11,1,Night,146,2:58,14.5,9,Away,Gray,SEA,4,67-79,Loss,5,3,Bass,--,Gonzales,CIN
15564,SEA/SEA201909120,"Thursday, Sep 12",2019-09-12,1,Night,147,3:21,14.5,9,Away,Altavilla,SEA,4,68-79,Win,5,11,,+,Romano,CIN
35158,ARI/ARI201909130,"Friday, Sep 13",2019-09-13,1,Night,148,2:48,14.5,9,Away,Leake,ARI,4,69-79,Win,3,4,Iglesias,++,Castillo,CIN
35151,ARI/ARI201909140,"Saturday, Sep 14",2019-09-14,1,Night,149,2:15,14.5,9,Away,DeSclafani,ARI,4,69-80,Loss,1,0,Bradley,-,Kelly,CIN
25193,ARI/ARI201909150,"Sunday, Sep 15",2019-09-15,1,Day,150,2:55,13.5,9,Away,Gallen,ARI,4,70-80,Win,1,3,Iglesias,+,Bauer,CIN
33753,CHN/CHN201909160,"Monday, Sep 16",2019-09-16,1,Night,151,3:27,14.5,9,Away,Gausman,CHC,4,70-81,Loss,8,2,,-,Mills,CIN
34267,CHN/CHN201909170,"Tuesday, Sep 17",2019-09-17,1,Night,152,3:08,13.5,9,Away,Darvish,CHC,4,71-81,Win,2,4,Iglesias,+,Gray,CIN
36578,CHN/CHN201909180,"Wednesday, Sep 18",2019-09-18,1,Night,153,3:40,13.5,10,Away,Norwood,CHC,4,72-81,Win,2,3,Iglesias,++,Garrett,CIN
20576,CIN/CIN201909200,"Friday, Sep 20",2019-09-20,1,Night,154,3:06,15.0,9,Home,Castillo,NYM,4,72-82,Loss,8,1,,-,deGrom,CIN
30487,CIN/CIN201909210,"Saturday, Sep 21",2019-09-21,1,Day,155,2:48,15.0,9,Home,Wilson,NYM,4,73-82,Win,2,3,Iglesias,+,Kuhnel,CIN
21335,CIN/CIN201909220,"Sunday, Sep 22",2019-09-22,1,Day,156,3:08,16.0,9,Home,Bauer,NYM,4,73-83,Loss,6,3,Wilson,-,Brach,CIN
14778,CIN/CIN201909240,"Tuesday, Sep 24",2019-09-24,1,Night,157,2:52,16.5,9,Home,Gray,MIL,4,73-84,Loss,4,2,Hader,--,Suter,CIN
16530,CIN/CIN201909250,"Wednesday, Sep 25",2019-09-25,1,Night,158,3:01,16.5,9,Home,Mahle,MIL,4,73-85,Loss,9,2,,---,Lyles,CIN
